"protein","organism","ref","abbrv","chains","Ala","Cys","Asp","Glu","Phe","Gly","His","Ile","Lys","Leu","Met","Asn","Pro","Gln","Arg","Ser","Thr","Val","Trp","Tyr"
"bisonN","Aquificae",15878,"638303(6231)",1,15.29,2.26,11.16,21.74,12.14,17.19,4.17,15.82,19.7,28.6,4.84,7.82,10.25,6.77,13.73,13.15,9.84,18.96,2.64,9.88
"bisonN","Crenarchaeota",5712,"1104324(1060)",1,19.98,1.66,8.81,13.77,6.87,14.99,3.32,9.84,9.96,20.93,3.7,4.67,9.92,4.17,14.26,9.4,8.97,19.62,2.89,7.96
"bisonN","Proteobacteria",4462,"1177927(716)",1,17.42,1.69,9.38,10.43,7.35,13.76,3.71,10.12,7.99,18.81,4.35,6.18,8.31,6.63,10.98,10.21,9.13,12.87,2.63,5.25
"bisonN","Deinococcus-Thermus",1668,"498848(1260)",1,17.19,0.8,6.49,13.76,6.45,15.09,3.18,6.07,7.04,22.38,2.87,3.34,10.47,4.31,13.38,6.89,6.88,13.04,2.38,5.08
"bisonN","Firmicutes",1181,"246194(38)",1,15.39,1.66,10.18,17.36,10.03,15.18,3.6,15.43,14.01,22.31,4.07,7.28,9.64,5.61,13.55,11.18,9.25,16.01,2.7,7.27
"bisonS","Aquificae",9549,"608538(3683)",1,14.34,2.13,10.38,19.99,11.12,15.92,3.85,14.67,18.13,26.09,4.55,7.32,9.55,6.31,12.82,12.21,9.16,17.72,2.51,9.04
"bisonS","Crenarchaeota",7646,"1104324(1115)",1,19.19,1.6,8.94,14.37,6.83,15.38,3.3,10.45,9.9,21.18,3.79,4.75,9.8,4.01,14.73,9.96,8.91,19.65,2.88,7.75
"bisonS","Proteobacteria",6195,"1177927(596)",1,18.43,1.73,9.52,10.94,7.55,14.25,3.72,10.46,7.93,19.32,4.29,5.73,8.93,6.46,11.81,10.08,9.21,13.57,2.79,5.1
"bisonS","Firmicutes",3872,"406124(401)",1,17.55,1.94,10.11,16.2,9.07,15.47,4.13,13.72,11.81,22.32,4.45,6.52,10.03,6.88,13.67,10.69,10.04,16.84,2.96,6.05
"bisonS","Deinococcus-Thermus",1986,"498848(1392)",1,17.89,0.9,6.7,14.24,6.5,15.16,3.27,6.39,7.16,23.02,2.93,3.4,10.57,4.64,13.79,6.86,6.84,13.18,2.47,5.05
"bisonS","Euryarchaeota",1301,"589924(72)",1,15.66,1.92,9.45,15.61,7.95,15.26,3.47,12.82,10.98,21.12,4.01,6.01,9.3,4.67,14.66,11.32,9.17,17.28,2.58,6.64
"bisonS","Chloroflexi",1237,"926569(221)",1,20.14,1.91,9.87,15.25,8.14,16.5,4.05,11.61,8.03,22.58,4.27,5.26,11.81,6.86,16.17,9.39,10.01,16.73,3.51,5.88
"bisonR","Deinococcus-Thermus",8493,"498848(6227)",1,22.34,0.95,7.5,16.6,7.49,18.37,3.9,6.12,7.51,28.36,3.23,3.52,12.98,5.56,16.76,7.67,7.95,15.74,3.03,5.94
"bisonR","Firmicutes",5406,"406124(728)",1,22.59,2.1,11.12,16.32,8.3,16.89,5.1,13.23,8.88,25.04,4.96,6.71,12.17,9.44,16.92,10.43,11.98,17.63,2.99,7.13
"bisonR","Proteobacteria",3078,"1177927(159)",1,21.72,1.99,9.66,13.01,7.86,15.64,4.35,11.02,7.37,23.41,4.39,6.01,10.97,8.76,14.84,10.19,10.69,15.47,3.35,6.13
"bisonR","Aquificae",2935,"608538(1069)",1,12.85,1.87,9,16.56,9.28,13.69,3.38,12.43,14.62,22.28,3.91,6.22,8.34,5.69,11.28,10.3,7.98,14.99,2.14,7.54
"bisonR","Bacteroidetes",2624,"518766(511)",1,21.31,1.87,9.68,14.79,8.41,16.78,4.88,11.43,6.99,25.08,3.88,5.89,12.61,9.42,17.11,10.78,11.5,15.71,4.06,8.21
