T,CYC_BOVIN,LYSC_CHICK,MYG_PHYCA,RNAS1_BOVIN
5,21400,25200,31900,23100
25,23800,27500,34900,26000
50,25200,29500,36900,27700
75,26000,31100,39200,29200
100,26100,31400,39300,29800
125,26300,31500,39500,30100
