"table","ispecies","name","state","DCp","DV","DG"
"OBIGT",14,"CO3-2","aq",,-1.04,
"OBIGT",20,"HPO4-2","aq",,-1.02,
"OBIGT",26,"S2O3-2","aq",,,939
"OBIGT",48,"BO2-","aq",,-19.31,
"OBIGT",60,"Cu+2","aq",3.62,,
"OBIGT",64,"NH3","aq",2.75,,
"OBIGT",73,"SO2","aq",11.1,,
"OBIGT",91,"LaSO4+","aq",-6.02,,
"OBIGT",107,"CeNO3+2","aq",,,874
"OBIGT",134,"NdF2+","aq",16.64,6.19,
"OBIGT",180,"EuF+","aq",4.11,-19.19,
"OBIGT",181,"EuF2","aq",9.75,-40.4,
"OBIGT",182,"EuF3-","aq",17.18,-64.45,
"OBIGT",183,"EuF4-2","aq",26.07,-91.02,
"OBIGT",184,"EuCl+","aq",-4.11,19.2,
"OBIGT",185,"EuCl2","aq",-9.84,40.4,
"OBIGT",186,"EuCl3-","aq",-17.19,64.47,
"OBIGT",187,"EuCl4-2","aq",-26.15,91.04,
"OBIGT",214,"TbO+","aq",,,-8907
"OBIGT",288,"TmCO3+","aq",,,22940
"OBIGT",340,"UO4-2","aq",,-1.11,
"OBIGT",358,"CsCl","aq",,,-1705
"OBIGT",364,"CsBr","aq",,,533
"OBIGT",368,"CsI","aq",,,-2127
"OBIGT",369,"Ag(CO3)-","aq",,,-1034
"OBIGT",370,"Ag(CO3)2-3","aq",,-1.56,
"OBIGT",375,"NaHSiO3","aq",,,2595
"OBIGT",379,"CaCl+","aq",,,-593
"OBIGT",386,"AgCl4-3","aq",,-1.31,
"OBIGT",387,"AgNO3","aq",,,1596
"OBIGT",388,"MnSO4","aq",,,1203
"OBIGT",389,"BeCl+","aq",,,-33235
"OBIGT",390,"BeCl2","aq",,,-33228
"OBIGT",400,"AuCl4-3","aq",,,117800
"OBIGT",405,"InCl+2","aq",,,7342
"OBIGT",406,"BeF+","aq",,,-33233
"OBIGT",407,"BeF2","aq",,,-33220
"OBIGT",408,"BeF3-1","aq",,,-33211
"OBIGT",409,"BeF4-2","aq",,,-33199
"OBIGT",422,"InF+2","aq",,,7347
"OBIGT",433,"CuCl4-2","aq",,-1.07,
"OBIGT",435,"ReO4-","aq",-1.26,,
"OBIGT",442,"WO4-2","aq",,,19984
"OBIGT",444,"PO4-3","aq",,-1.72,
"OBIGT",451,"UO2+2","aq",-1.1,,
"OBIGT",452,"Th+4","aq",,-1.14,
"OBIGT",456,"In+3","aq",,,7335
"OBIGT",471,"P2O7-4","aq",,-2.11,
"OBIGT",472,"HP2O7-3","aq",,-1.42,
"OBIGT",486,"SO3-2","aq",,-1.02,
"OBIGT",494,"S2O6-2","aq",,,-607
"OBIGT",497,"S5O6-2","aq",,,664
"OBIGT",520,"VO4-3","aq",,-1.63,
"OBIGT",523,"H3VO4","aq",,,-1195
"OBIGT",531,"Zr+4","aq",,-1.18,
"OBIGT",533,"HNbO3","aq",,,-1244
"OBIGT",534,"HMoO4-","aq",,,-1197
"OBIGT",538,"Hf+4","aq",,-1.18,
"OBIGT",542,"U+4","aq",,-1.13,
"OBIGT",558,"Ce+4","aq",,-1.13,
"OBIGT",559,"Pr+4","aq",,-1.12,
"OBIGT",560,"Nd+4","aq",,-1.12,
"OBIGT",561,"Pm+4","aq",,-1.13,
"OBIGT",562,"Sm+4","aq",,-1.14,
"OBIGT",563,"Eu+4","aq",,-1.14,
"OBIGT",564,"Gd+4","aq",,-1.16,
"OBIGT",565,"Tb+4","aq",,-1.15,
"OBIGT",566,"Dy+4","aq",,-1.15,
"OBIGT",567,"Ho+4","aq",,-1.15,
"OBIGT",568,"Er+4","aq",,-1.15,
"OBIGT",569,"Tm+4","aq",,-1.16,
"OBIGT",570,"Yb+4","aq",,-1.16,
"OBIGT",571,"Lu+4","aq",,-1.17,
"OBIGT",574,"KOH","aq",,,-6847
"OBIGT",580,"BeO2-2","aq",,-1.17,
"OBIGT",581,"MgOH+","aq",,,11632
"OBIGT",603,"TlOH","aq",,,5739
"OBIGT",621,"MnO","aq",,,-7264
"OBIGT",623,"MnO2-2","aq",,-1.05,
"OBIGT",629,"HFeO2","aq",,,-4600
"OBIGT",630,"FeO2-","aq",,,-4641
"OBIGT",634,"CoO2-2","aq",,-1.14,
"OBIGT",637,"NiO","aq",,,-14906
"OBIGT",639,"NiO2-2","aq",,-1.16,
"OBIGT",643,"CuO2-2","aq",,-1.09,
"OBIGT",650,"HZrO2+","aq",,,6616
"OBIGT",652,"HZrO3-","aq",,,-8031
"OBIGT",657,"CdO2-2","aq",,-1.08,
"OBIGT",660,"HHfO2+","aq",,,6529
"OBIGT",662,"HHfO3-","aq",,,-8029
"OBIGT",673,"RuCl4-2","aq",,-1.09,
"OBIGT",676,"Ru(SO4)3-4","aq",,-1.8,
"OBIGT",683,"RuCl5-2","aq",,-1.49,
"OBIGT",684,"RuCl6-3","aq",,-2.39,
"OBIGT",687,"Ru(SO4)3-3","aq",,-1.3,
"OBIGT",688,"RuOH+2","aq",,,648
"OBIGT",689,"RuO+","aq",,,-2696
"OBIGT",693,"RhCl4-2","aq",,-1.14,
"OBIGT",696,"Rh(SO4)3-4","aq",,-1.82,
"OBIGT",700,"RhCl2+","aq",,4.67,
"OBIGT",705,"Rh(SO4)3-3","aq",,-1.33,
"OBIGT",706,"RhOH+2","aq",,,789
"OBIGT",707,"RhO+","aq",,,-2676
"OBIGT",708,"CF4","aq",5.9,,-2329
"OBIGT",715,"AsH3","aq",-2.67,,
"OBIGT",776,"RuCrO4+2","aq",,,-4659
"OBIGT",778,"H3AsO4","aq",,,145523
"OBIGT",779,"H2AsO4-","aq",,,145524
"OBIGT",780,"HAsO4-2","aq",,,145525
"OBIGT",781,"AsO4-3","aq",,,145523
"OBIGT",782,"H3AsO3","aq",,,122245
"OBIGT",783,"H2AsO3-","aq",,,122247
"OBIGT",800,"AgCl","aq",,-1.88,
"OBIGT",801,"AgCl2-","aq",1.65,,
"OBIGT",802,"AgCl3-2","aq",,,-546
"OBIGT",806,"CuHS","aq",7.35,-16.2,
"OBIGT",814,"ZnO2-2","aq",,-1.17,
"OBIGT",840,"S3-","aq",,,661
"OBIGT",841,"methane","aq",-2.61,,
"OBIGT",846,"hexane","aq",1.43,3.21,
"OBIGT",849,"ethylene","aq",6.12,-3.82,
"OBIGT",873,"propanol","aq",-1.89,,
"OBIGT",920,"La(Ac)2+","aq",,,-779
"OBIGT",923,"Sm(Ac)+2","aq",,,-660
"OBIGT",924,"Sm(Ac)2+","aq",,,-621
"OBIGT",937,"Ca(Ac)2","aq",,,-1006
"OBIGT",953,"La(Ac)3","aq",,,-564
"OBIGT",973,"Ce(Ac)+2","aq",,,797
"OBIGT",974,"Ce(Ac)2+","aq",,,567
"OBIGT",1002,"urea","aq",-23.26,23.32,
"OBIGT",1015,"propanoic acid","aq",1.42,,
"OBIGT",1034,"pimelic acid","aq",,,-19931
"OBIGT",1038,"formate","aq",1.96,,
"OBIGT",1040,"propanoate","aq",1.68,,
"OBIGT",1047,"n-decanoate","aq",-1.93,,
"OBIGT",1063,"oxalate-2","aq",-3.19,,
"OBIGT",1104,"Fe(For)+","aq",,,587
"OBIGT",1105,"Fe(For)2","aq",,,639
"OBIGT",1177,"Mg(But)2","aq",,,-3347811
"OBIGT",1206,"Yb(But)+2","aq",,,665
"OBIGT",1225,"Fe(Pent)2","aq",,,532
"OBIGT",1310,"Ba(HCO3)+","aq",,,-5800
"OBIGT",1330,"Li(Mal)-","aq",,-3.22,
"OBIGT",1334,"Pb(Mal)","aq",,1.16,
"OBIGT",1338,"Pb(Succ)","aq",,1.49,
"OBIGT",1339,"Na(Oxal)-","aq",,-3.14,
"OBIGT",1340,"K(Oxal)-","aq",,-2.75,
"OBIGT",1341,"Fe(Oxal)+","aq",,-2.19,
"OBIGT",1343,"Na(Mal)-","aq",,-3.11,17018
"OBIGT",1344,"K(Mal)-","aq",,-2.63,17013
"OBIGT",1346,"La(Mal)+","aq",,-1.92,
"OBIGT",1347,"Gd(Mal)+","aq",,-1.73,
"OBIGT",1348,"Lu(Mal)+","aq",,-2.25,
"OBIGT",1349,"Yb(Mal)+","aq",,-2.05,
"OBIGT",1350,"Th(Mal)+2","aq",-1.29,-4.79,
"OBIGT",1352,"Ce(Mal)+","aq",,-1.75,
"OBIGT",1353,"Nd(Mal)+","aq",4.52,,
"OBIGT",1354,"Sm(Mal)+","aq",,-1.77,
"OBIGT",1355,"Pr(Mal)+","aq",,-1.75,
"OBIGT",1356,"Eu(Mal)+","aq",,-1.87,
"OBIGT",1357,"Tb(Mal)+","aq",,-1.92,
"OBIGT",1358,"Dy(Mal)+","aq",,-1.89,
"OBIGT",1359,"Tm(Mal)+","aq",,-2.08,
"OBIGT",1360,"Ho(Mal)+","aq",,-2.08,
"OBIGT",1361,"Er(Mal)+","aq",,-2.11,
"OBIGT",1362,"Sc(Mal)+","aq",,-1.97,
"OBIGT",1363,"Fe(Mal)+","aq",,-1.97,
"OBIGT",1364,"Na(Succ)-","aq",,-2.82,
"OBIGT",1365,"K(Succ)-","aq",,-2.39,
"OBIGT",1371,"Th(Succ)+2","aq",-1.21,-4.47,
"OBIGT",1376,"NH4(Oxal)-","aq",,-2.62,
"OBIGT",1381,"Yb(Oxal)+","aq",,-2.02,
"OBIGT",1382,"Ce(Oxal)+","aq",,-1.8,
"OBIGT",1383,"Nd(Oxal)+","aq",,-1.8,
"OBIGT",1384,"Eu(Oxal)+","aq",,-1.89,
"OBIGT",1385,"Gd(Oxal)+","aq",,-1.8,
"OBIGT",1386,"Ru(Oxal)+","aq",,-2.41,
"OBIGT",1387,"Pa(Oxal)+2","aq",-1.25,-4.63,
"OBIGT",1388,"Th(Oxal)+2","aq",-1.27,-4.69,
"OBIGT",1389,"U(Oxal)+2","aq",-1.25,-4.63,
"OBIGT",1391,"Y(Oxal)+","aq",,-2.11,
"OBIGT",1396,"La(Oxal)+","aq",,-1.87,
"OBIGT",1397,"Tb(Oxal)+","aq",,-1.92,
"OBIGT",1398,"Er(Oxal)+","aq",,-2.05,
"OBIGT",1399,"Lu(Oxal)+","aq",,-2.19,
"OBIGT",1400,"Cr(Oxal)+","aq",,-2.58,
"OBIGT",1401,"Ga(Oxal)+","aq",,-2.66,
"OBIGT",1402,"Sc(Oxal)+","aq",,-2.13,
"OBIGT",1403,"In(Oxal)+","aq",,-2.19,
"OBIGT",1404,"Sm(Oxal)+","aq",,-1.84,
"OBIGT",1405,"Cs(Mal)-","aq",,-2.39,
"OBIGT",1406,"NH4(Mal)-","aq",,-2.54,
"OBIGT",1411,"In(Mal)+","aq",,-2.11,
"OBIGT",1412,"Y(Mal)+","aq",,-2.02,29999
"OBIGT",1420,"La(Succ)+","aq",,-1.52,
"OBIGT",1421,"NH4(Succ)-","aq",,-2.26,
"OBIGT",1423,"Fe(Succ)+","aq",,-1.92,
"OBIGT",1424,"Sc(Succ)+","aq",,-1.77,
"OBIGT",1426,"Sm(Succ)+","aq",,-1.48,
"OBIGT",1427,"Er(Succ)+","aq",,-1.68,
