name,GfPrTr,HfPrTr,SPrTr,VPrTr,k0,k1,k2,k3,k4,k5,k6,v1,v2,v3,v4,Tlambda,Tref,dTdP,l1,l2,DtH,Tmax,Tmin,d0,d1,d2,d3,d4,Vad
daphnite,NA,-7120845,559.4,21.588,1229.23,-10256.5,-12276900,2121510000,0,0,0,2.6451,0,-0.182,0,,,,,,,,,,,,,,
Mg-amesite,NA,-9035900,403.2,20.52,1144.45,-8327.2,-20058040,2820786000,0,0,0,2.6451,0,-0.182,0,,,,,,,,,,,,,,
