name,GfPrTr,HfPrTr,SPrTr,VPrTr,k0,k1,k2,k3,k4,k5,k6,v1,v2,v3,v4,Tlambda,Tref,dTdP,l1,l2,DtH,Tmax,Tmin,d0,d1,d2,d3,d4,Vad
glaucophane,-11225858,-11960500,535,26.05,1717.5,-19272,7050000,0,0,0,0,2.2,0.00088,-0.116,0.00029,,,,,,,,,,,,,,
pumpellyite,-13448936,-14402300,584,29.55,1576,-10603.8,-28304200,3838351000,0,0,0,3.467,0,-0.051516,0.0001288,,,,,,,,,,,,,,
