name,GfPrTr,HfPrTr,SPrTr,VPrTr,k0,k1,k2,k3,k4,k5,k6,v1,v2,v3,v4,Tlambda,Tref,dTdP,l1,l2,DtH,Tmax,Tmin,d0,d1,d2,d3,d4,Vad
zoisite,NA,-6891340,297.38,13.572,733.034,-5979.52,-5079660,552314000,0,0,0,3.713,0,-0.0735,0,,,,,,,,,,,,,,
orthoepidote,NA,-6449500,340.8,13.852,728.954,-5565.32,-5937360,610589000,0,0,0,3.713,0,-0.0735,0,,,,,,,,,,,,,,
clinozoisite,NA,-6892040,294.88,13.64,733.034,-5979.52,-5079660,552314000,0,0,0,2.95,0,-0.0649,0,,,,,,,,,,,,,,
epidote,NA,-6462600,332.8,13.901,728.954,-5565.32,-5937360,610589000,0,0,0,2.95,0,-0.0581,0,,,,,,,,,,,,,,
