name,abbrv,formula,state,ref1,ref2,date,model,E_units,G,H,S,Cp,V,a1.a,a2.b,a3.c,a4.d,c1.e,c2.f,omega.lambda,z.T
akermanite,Ak,Ca2MgSi2O7,cr,Ber88,NA,2017-10-01,Berman,J,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
albite,Ab,NaAlSi3O8,cr,Ber88,SHD91,2017-10-03,Berman,J,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"albite,high",hAb,NaAlSi3O8,cr,Ber88,SHD91,2017-10-03,Berman,J,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"albite,low",lAb,NaAlSi3O8,cr,Ber88,SHD91,2017-10-03,Berman,J,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
almandine,Alm,Si3Fe3Al2O12,cr,Ber88,Ber90.1,2017-10-03,Berman,J,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
andalusite,And,Al2SiO5,cr,Ber88,NA,2017-10-01,Berman,J,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
anorthite,An,Al2CaSi2O8,cr,Ber88,NA,2017-10-01,Berman,J,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
anthophyllite,Ath,Mg7Si8O24H2,cr,Ber88,NA,2017-10-01,Berman,J,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
antigorite,Atg,Mg48Si34O99H62O48,cr,Ber88,BDat17.1,2017-10-09,Berman,J,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
brucite,Brc,MgO2H2,cr,Ber88,NA,2017-10-01,Berman,J,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ca-Al-pyroxene,CTs,CaAl2SiO6,cr,Ber88,NA,2017-10-01,Berman,J,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
