name,abbrv,formula,state,ref1,ref2,date,G,H,S,Cp,V,a1.a,a2.b,a3.c,a4.d,c1.e,c2.f,omega.lambda,z.T
acetate,ACETATE,CH3COO-,aq,DEW17,DEW17.7,26.Sep.17,-88270,-116180,20.6,6.3117426074730005,40.54909511567521,10.018,2.809,6.72,-2.8941,26.3,-3.86,1.3182,-1
"acetic acid",ACETIC-ACID,CH3COOH,aq,PS01.1,NA,26.Sep.17,-94760,-116100,42.7,40.25575770942072,51.56505119175234,11.5,5.5,1.67,-2.87,44.9,-2.63,-0.076,0
Ag+,Ag(+),Ag+,aq,DEW17,NA,26.Sep.17,18427,25275,17.54,7.899675145066272,-0.8000779183186488,2.0464198451385798,-4.387713541216656,7.018168800653471,-2.5976119222061036,12.786273506979494,-1.4254361729500007,0.216,1
AgCl,AgCl(0),AgCl,aq,DEW17,NA,26.Sep.17,-17450,-18270,34.1,6.700093692683566,27,6.745843118168457,2.1395755891092776,3.044086894026221,-2.867450054853778,9.743184747784344,-1.6697909148003578,-0.038,0
AgCl2-,AgCl2(-),AgCl2-,aq,DEW17,NA,26.Sep.17,-51560,-61130,47,7.699895914602958,53,12.253325472403718,7.383245132546093,-1.3526803252190707,-3.0842233537794557,19.12646661571935,-1.4661312021953776,0.9169,-1
Al+3,Al(+3),Al+3,aq,DEW17,NA,26.Sep.17,-115609,-126834,-77.7,-31.041644667421664,-44.399906639446655,-3.3802,-17.0071,14.5185,-2.0758,10.7,-8.06,2.753,3
AlO2-,AlO2(-),AlO2-,aq,PH95,SHA14.1,26.Sep.17,-198693,-222125,-7.22,-9.545923627939738,10.000024777758352,4.298,2.4976,-1.8258,-2.8823,19.1,-6.2,1.7418,-1
argon,Ar(0),Ar,aq,DEW17,NA,26.Sep.17,3900,-2870,14.3,53.345033192928895,31.709837012547897,6.0003,6.8698,3.0499,-3.063,35.6471,7.316,-0.3073,0
Au+,Au(+),Au+,aq,DEW17,NA,26.Sep.17,39000,47580,24.5,0.6002074730847566,11.100324833471493,3.3303289051148655,0.42332752242294425,5.604414972054319,-2.7965003597769647,8.176673476970763,-2.9123377377326354,0.18,1
Au+3,Au(+3),Au+3,aq,DEW17,NA,26.Sep.17,103600,96930,-57.9,-36.1998871338686,-41.300343488716095,-8.030924430948104,-2.3071217010082825,13.798337217155645,-2.6836235888803177,7.572434564298444,-10.408517009169033,2.4554,3
