"name","abbrv","formula","state","ref1","ref2","date","E_units","G","H","S","Cp","V","a1.a","a2.b","a3.c","a4.d","c1.e","c2.f","omega.lambda","z.T"
"carbon monoxide","CO",CO,gas,Sho93.1,NA,18.Mar.93,cal,-32784,-26416,47.245,6.965,0,6.79,0.98,-0.11,0,0,0,0,5000
"ethylene","C2H4",C2H4,gas,Sho93.1,NA,22.Sep.93,cal,16280,12500,52.45,10.41,0,8.35,0.15,-2.29,0,0,0,0,1000
"phenol","C6H6O",C6H6O,gas,DSM+97.1,NA,20.Nov.97,cal,-7860,-23030,75.4,24.5,0,30.424,27.016,-12.431,0,0,0,0,1000
"ortho-cresol","C7H8O",C7H8O,gas,DSM+97.1,NA,20.Nov.97,cal,-8860,-30740,85.5,30.9,0,33.455,37.071,-12.088,0,0,0,0,1000
"meta-cresol","C7H8O",C7H8O,gas,DSM+97.1,NA,20.Nov.97,cal,-9690,-31630,85.3,29.2,0,33.367,37.017,-13.472,0,0,0,0,1000
"para-cresol","C7H8O",C7H8O,gas,DSM+97.1,NA,20.Nov.97,cal,-7380,-29970,83.2,29.5,0,32.661,37.582,-12.782,0,0,0,0,1000
"2,3-dimethylphenol","2,3DMP",C6H3OHCH3CH3,gas,DSM+97.2,NA,27.Aug.06,cal,-6884,-37996,87.2,38.1,0,38.808,47.072,-13.129,0,0,0,0,1000
"2,4-dimethylphenol","2,4DMP",C6H3OHCH3CH3,gas,DSM+97.2,NA,27.Aug.06,cal,-9393,-38296,94.6,36.6,0,36.342,47.637,-12.439,0,0,0,0,1000
"2,5-dimethylphenol","2,5DMP",C6H3OHCH3CH3,gas,DSM+97.2,NA,27.Aug.06,cal,-7951,-38296,89.7,36.6,0,37.288,47.072,-13.129,0,0,0,0,1000
"2,6-dimethylphenol","2,6DMP",C6H3OHCH3CH3,gas,DSM+97.2,NA,27.Aug.06,cal,-7757,-37996,90.1,38.1,0,37.236,47.126,-11.745,0,0,0,0,1000
"3,4-dimethylphenol","3,4DMP",C6H3OHCH3CH3,gas,DSM+97.2,NA,27.Aug.06,cal,-7656,-38296,88.8,36.6,0,37.914,47.583,-13.823,0,0,0,0,1000
"3,5-dimethylphenol","3,5DMP",C6H3OHCH3CH3,gas,DSM+97.2,NA,27.Aug.06,cal,-8078,-38296,88.2,35.4,0,37.67,47.018,-14.513,0,0,0,0,1000
"ethane",NA,C2H6,gas,HOKR98,NA,30.Aug.06,cal,-7887,-20201,55.14,12.51,0,1.59,40.4,0,0,-1.263,0,0,1000
"propane",NA,C3H8,gas,HOKR98,NA,30.Aug.06,cal,-5886,-25132,64.5,17.58,0,0.13,65.9,0,0,-2.475,0,0,1000
"butane",NA,C4H10,gas,HOKR98,NA,30.Aug.06,cal,-3887,-30062,73.86,23.53,0,0.97,85.4,0,0,-3.264,0,0,1000
"pentane",NA,C5H12,gas,HOKR98,NA,30.Aug.06,cal,-1886,-34993,83.22,28.65,0,0.67,105.6,0,0,-3.939,0,0,1000
"hexane",NA,C6H14,gas,HOKR98,NA,30.Aug.06,cal,112,-39924,92.58,34.03,0,0.1,128.9,0,0,-5.062,0,0,1000
"heptane",NA,C7H16,gas,HOKR98,NA,30.Aug.06,cal,2114,-44854,101.94,39.44,0,-0.37,151.8,0,0,-6.135,0,0,1000
"octane",NA,C8H18,gas,HOKR98,NA,30.Aug.06,cal,4112,-49785,111.3,44.84,0,-0.91,175,0,0,-7.232,0,0,1000
"nonane",NA,C9H20,gas,HOKR98,NA,30.Aug.06,cal,6113,-54716,120.66,50.24,0,-1.45,198.2,0,0,-8.329,0,0,1000
"decane",NA,C10H22,gas,HOKR98,NA,30.Aug.06,cal,8115,-59646,130.01,55.64,0,-1.99,221.4,0,0,-9.426,0,0,1000
"undecane",NA,C11H24,gas,HOKR98,NA,30.Aug.06,cal,10116,-64577,139.37,61.04,0,-2.53,244.6,0,0,-10.523,0,0,1000
"dodecane",NA,C12H26,gas,HOKR98,NA,30.Aug.06,cal,12114,-69508,148.73,66.45,0,-3.07,267.8,0,0,-11.62,0,0,1000
"tridecane",NA,C13H28,gas,HOKR98,NA,30.Aug.06,cal,14115,-74439,158.09,71.85,0,-3.61,291,0,0,-12.717,0,0,1000
"tetradecane",NA,C14H30,gas,HOKR98,NA,30.Aug.06,cal,16114,-79369,167.45,77.25,0,-4.15,314.2,0,0,-13.814,0,0,1000
"pentadecane",NA,C15H32,gas,HOKR98,NA,30.Aug.06,cal,18115,-84300,176.81,82.65,0,-4.69,337.4,0,0,-14.911,0,0,1000
"hexadecane",NA,C16H34,gas,HOKR98,NA,30.Aug.06,cal,20113,-89231,186.17,88.06,0,-5.22,360.6,0,0,-16.008,0,0,1000
"heptadecane",NA,C17H36,gas,HOKR98,NA,30.Aug.06,cal,22115,-94161,195.53,93.46,0,-5.76,383.8,0,0,-17.105,0,0,1000
"octadecane",NA,C18H38,gas,HOKR98,NA,30.Aug.06,cal,24113,-99092,204.89,98.87,0,-6.3,407,0,0,-18.202,0,0,1000
"nonadecane",NA,C19H40,gas,HOKR98,NA,30.Aug.06,cal,26114,-104023,214.25,104.27,0,-6.84,430.2,0,0,-19.299,0,0,1000
"eicosane",NA,C20H42,gas,HOKR98,NA,30.Aug.06,cal,28115,-108953,223.6,109.67,0,-7.38,453.4,0,0,-20.396,0,0,1000
"heneicosane",NA,C21H44,gas,HOKR98,NA,30.Aug.06,cal,30116,-113884,232.96,115.07,0,-7.92,476.6,0,0,-21.493,0,0,1000
"docosane",NA,C22H46,gas,HOKR98,NA,30.Aug.06,cal,32114,-118815,242.32,120.47,0,-8.46,499.8,0,0,-22.59,0,0,1000
"tricosane",NA,C23H48,gas,HOKR98,NA,30.Aug.06,cal,34115,-123746,251.68,125.88,0,-9,523,0,0,-23.687,0,0,1000
"tetracosane",NA,C24H50,gas,HOKR98,NA,30.Aug.06,cal,36114,-128676,261.04,131.28,0,-9.54,546.2,0,0,-24.784,0,0,1000
"pentacosane",NA,C25H52,gas,HOKR98,NA,30.Aug.06,cal,38115,-133607,270.4,136.68,0,-10.08,569.4,0,0,-25.881,0,0,1000
"hexacosane",NA,C26H54,gas,HOKR98,NA,30.Aug.06,cal,40113,-138538,279.76,142.09,0,-10.61,592.6,0,0,-26.978,0,0,1000
"heptacosane",NA,C27H56,gas,HOKR98,NA,30.Aug.06,cal,42115,-143468,289.12,147.49,0,-11.15,615.8,0,0,-28.075,0,0,1000
"octacosane",NA,C28H58,gas,HOKR98,NA,30.Aug.06,cal,44113,-148399,298.48,152.9,0,-11.69,639,0,0,-29.172,0,0,1000
"nonacosane",NA,C29H60,gas,HOKR98,NA,30.Aug.06,cal,46114,-153330,307.84,158.3,0,-12.23,662.2,0,0,-30.269,0,0,1000
"triacontane",NA,C30H62,gas,HOKR98,NA,30.Aug.06,cal,48116,-158260,317.19,163.7,0,-12.77,685.4,0,0,-31.366,0,0,1000
"hentriacontane",NA,C31H64,gas,HOKR98,NA,30.Aug.06,cal,50117,-163191,326.55,169.1,0,-13.31,708.6,0,0,-32.463,0,0,1000
"dotriacontane",NA,C32H66,gas,HOKR98,NA,30.Aug.06,cal,52115,-168122,335.91,174.5,0,-13.85,731.8,0,0,-33.56,0,0,1000
"tritriacontane",NA,C33H68,gas,HOKR98,NA,30.Aug.06,cal,54116,-173053,345.27,179.91,0,-14.39,755,0,0,-34.657,0,0,1000
"tetratriacontane",NA,C34H70,gas,HOKR98,NA,30.Aug.06,cal,56115,-177983,354.63,185.31,0,-14.93,778.2,0,0,-35.754,0,0,1000
"pentatriacontane",NA,C35H72,gas,HOKR98,NA,30.Aug.06,cal,58116,-182914,363.99,190.71,0,-15.47,801.4,0,0,-36.851,0,0,1000
"hexatriacontane",NA,C36H74,gas,HOKR98,NA,30.Aug.06,cal,60114,-187845,373.35,196.12,0,-16,824.6,0,0,-37.948,0,0,1000
"heptatriacontane",NA,C37H76,gas,HOKR98,NA,30.Aug.06,cal,62116,-192775,382.71,201.52,0,-16.54,847.8,0,0,-39.045,0,0,1000
"octatriacontane",NA,C38H78,gas,HOKR98,NA,30.Aug.06,cal,64114,-197706,392.07,206.93,0,-17.08,871,0,0,-40.142,0,0,1000
"nonatriacontane",NA,C39H80,gas,HOKR98,NA,30.Aug.06,cal,66115,-202637,401.43,212.33,0,-17.62,894.2,0,0,-41.239,0,0,1000
"tetracontane",NA,C40H82,gas,HOKR98,NA,30.Aug.06,cal,68117,-207567,410.78,217.73,0,-18.16,917.4,0,0,-42.336,0,0,1000
"2-methylpropane",NA,C4H10,gas,HOKR98,NA,30.Aug.06,cal,-4807,-32201,69.77,23.14,0,0.06,86.6,0,0,-3.083,0,0,1000
"2-methylbutane",NA,C5H12,gas,HOKR98,NA,30.Aug.06,cal,-2919,-36592,81.32,28.55,0,-0.48,109.8,0,0,-4.18,0,0,1000
"2-methylpentane",NA,C6H14,gas,HOKR98,NA,30.Aug.06,cal,-921,-41523,90.68,33.95,0,-1.01,133,0,0,-5.277,0,0,1000
"2-methylhexane",NA,C7H16,gas,HOKR98,NA,30.Aug.06,cal,1081,-46453,100.04,39.35,0,-1.55,156.2,0,0,-6.374,0,0,1000
"2-methylheptane",NA,C8H18,gas,HOKR98,NA,30.Aug.06,cal,3078,-51384,109.4,44.76,0,-2.09,179.4,0,0,-7.471,0,0,1000
