name,abbrv,formula,state,ref1,ref2,date,E_units,G,H,S,Cp,V,a1.a,a2.b,a3.c,a4.d,c1.e,c2.f,omega.lambda,z.T
U(But)2+,NA,U(CH3CH2CH2CO2)2+,aq,SK95,SLOP16.6,1998-06-02,cal,-289537,-377877,27.782,319.1,119.7,18.1945,36.6443,-8.6523,-4.2938,194.4029,61.9728,0.1308,1
Na(Pent),NA,NaCH3(CH2)3CO2,aq,SK95,NA,1993-08-16,cal,-145259,-192009,51.933,209.9,94,14.6201,27.9193,-5.2291,-3.9331,128.8681,39.7094,-0.03,0
Na(Pent)2-,NA,Na(CH3CH2CH2CH2CO2)2-,aq,SK95,NA,1993-08-16,cal,-227477,-327929,83.886,491.7,200,29.2549,63.6519,-19.2699,-5.4103,297.6442,97.1277,0.3584,-1
K(Pent),NA,KCH3(CH2)3CO2,aq,SK95,NA,1993-09-01,cal,-150151,-193881,65.268,193.9,105.4,16.1707,31.7005,-6.705,-4.0894,119.5323,36.4644,-0.03,0
K(Pent)2-,NA,K(CH3CH2CH2CH2CO2)2-,aq,SK95,NA,1993-09-01,cal,-232342,-328765,100.606,460.6,212.6,30.8965,67.6627,-20.8507,-5.5761,277.0852,90.7965,0.1041,-1
Ca(Pent)+,NA,CaCH3(CH2)3CO2+,aq,SK95,NA,1993-08-16,cal,-215129,-263187,29.605,217.8,75.1,12.0805,21.7185,-2.7923,-3.6767,134.7595,41.3334,0.1023,1
Ca(Pent)2,NA,Ca(CH3CH2CH2CH2CO2)2,aq,SK95,NA,1993-08-16,cal,-297634,-396159,72.407,509.5,179,26.2442,56.3017,-16.3832,-5.1064,304.4798,100.7475,-0.03,0
Mg(Pent)+,NA,MgCH3(CH2)3CO2+,aq,SK95,NA,1993-09-07,cal,-191528,-246880,3.018,222.7,71.2,11.6846,20.7465,-2.3979,-3.6366,141.3617,42.3371,0.5055,1
Mg(Pent)2,NA,Mg(CH3CH2CH2CH2CO2)2,aq,SK95,NA,1993-09-07,cal,-274046,-382313,37.615,519.1,174.6,25.6513,54.8536,-15.8129,-5.0465,310.1143,102.7059,-0.03,0
Sr(Pent)+,NA,SrCH3(CH2)3CO2+,aq,SK95,NA,1993-09-07,cal,-217114,-263755,37.745,212.1,75.9,12.1383,21.8541,-2.8337,-3.6823,130.3108,40.1784,-0.0199,1
Sr(Pent)2,NA,Sr(CH3CH2CH2CH2CO2)2,aq,SK95,NA,1993-09-07,cal,-299073,-395432,83.059,498.4,179.8,26.3546,56.5678,-16.4801,-5.1174,297.9963,98.494,-0.03,0
Ba(Pent)+,NA,BaCH3(CH2)3CO2+,aq,SK95,NA,1993-08-31,cal,-216357,-259492,51.147,207.1,81.2,12.803,23.4822,-3.4843,-3.7497,125.472,39.1471,-0.2231,1
Ba(Pent)2,NA,Ba(CH3CH2CH2CH2CO2)2,aq,SK95,NA,1993-08-31,cal,-298289,-389909,100.598,488.5,185.7,27.1717,58.5642,-17.2675,-5.1999,292.2076,96.4819,-0.03,0
Mn(Pent)+,NA,MnCH3(CH2)3CO2+,aq,SK95,NA,1993-09-09,cal,-138601,-187646,24.015,225.5,76.2,12.2563,22.144,-2.9511,-3.6943,140.0855,42.9054,0.1895,1
Mn(Pent)2,NA,Mn(CH3CH2CH2CH2CO2)2,aq,SK95,NA,1993-09-09,cal,-222006,-322033,65.092,524.5,180.2,26.4073,56.6981,-16.5352,-5.1228,313.3047,103.8147,-0.03,0
Fe(Pent)+,NA,FeCH3(CH2)3CO2+,aq,SK95,SLOP16.6,1998-06-02,cal,-106635,-158584,13.108,216.5,70.5,11.5343,20.3852,-2.2687,-3.6216,136.3259,41.0721,0.3539,1
