name,abbrv,formula,state,ref1,ref2,date,model,E_units,G,H,S,Cp,V,a1.a,a2.b,a3.c,a4.d,c1.e,c2.f,omega.lambda,z.T
Cu(Ac)2,NA,Cu(CH3COO)2,aq,SK93,NA,1992-08-19,HKF,cal,-165820,-222690,14.2,195.8,74,11.8801,21.2264,-2.5925,-3.6564,120.615,36.8408,-0.03,2
Cd(Ac)+,NA,CdCH3COO+,aq,SK93,SLOP16.1,2015-09-00,HKF,cal,-109500,-135900,6.6,92.1,32.1,6.3043,7.6112,2.7593,-3.0935,64.3035,15.7327,0.4496,1
Cd(Ac)2,NA,Cd(CH3COO)2,aq,SK93,SLOP16.1,2015-09-00,HKF,cal,-199400,-254600,24.6,205.4,85.2,13.409,24.9584,-4.057,-3.8107,126.2752,38.8081,-0.03,2
Hg(Ac)+,NA,HgCH3COO+,aq,SK93,NA,1992-08-17,HKF,cal,-54760,-79390,18.5,105,27.6,5.6341,5.9787,3.3935,-3.0261,70.1764,18.3452,0.2712,1
Hg(Ac)2,NA,Hg(CH3COO)2,aq,SK93,NA,1992-08-17,HKF,cal,-146580,-198780,40.1,230.4,80.2,12.7295,23.3004,-3.408,-3.7421,140.9402,43.9053,-0.03,2
Ag(Ac),NA,AgCH3COO,aq,SK93,NA,1992-08-17,HKF,cal,-70840,-91650,38.9,72.5,48.6,8.3987,12.7257,0.7485,-3.305,48.3694,11.73,-0.03,0
Ag(Ac)2-,NA,Ag(CH3COO)2-,aq,SK93,NA,1992-08-17,HKF,cal,-158990,-210560,49.9,164.9,103.5,16.2287,31.8418,-6.7592,-4.0952,110.8373,30.5473,0.8741,-1
Tl(Ac),NA,TlCH3COO,aq,SK93,NA,1992-08-17,HKF,cal,-95860,-113350,55.2,45.3,69.7,11.2955,19.8003,-2.0347,-3.5974,32.4138,6.1843,-0.03,0
Al(Ac)+2,NA,AlCH3COO+2,aq,SK93,NA,1993-04-05,HKF,cal,-207630,-249130,-66.1,72.2,-0.03,2.4411,-1.8235,6.4722,-2.7035,67.0012,11.6689,2.0115,2
Al(Ac)2+,NA,Al(CH3COO)2+,aq,SK93,NA,1993-04-05,HKF,cal,-298430,-372080,-59.8,168.7,49.4,8.9971,14.1844,0.1805,-3.3653,117.86,31.3303,1.3918,1
Bi(Ac)+2,NA,BiCH3COO+2,aq,SK93,NA,1992-09-26,HKF,cal,-67750,-96420,-15.2,153.5,21.7,5.169,4.8386,3.8508,-2.9789,107.9465,28.2236,1.286,2
