name,abbrv,formula,state,ref1,ref2,date,model,E_units,G,H,S,Cp,V,a1.a,a2.b,a3.c,a4.d,c1.e,c2.f,omega.lambda,z.T
Mg(SiO2)(HCO3)+,Mg(SiO2)(HCO3)+,Mg(SiO2)(HCO3)+,aq,HS19,DEW19.1,2020-06-30,DEW,cal,-454300,-479123,48,78.5,53.5,11.8266,6.977,-1.012,-3.0674,50.5582,12.9558,-0.1752,1
MgSO4,MgSO4,MgSO4,aq,ARHB06,DEW17.29,2017-09-26,DEW,cal,-289449,-327449,-1,20,35,8.3417,3.659,1.77,-2.9303,18.3485,1.0394,0.05,0
Mn+2,Mn(+2),Mn+2,aq,SSWS97,DEW17.2,2017-09-26,DEW,cal,-54500,-52724,-17.6,-4.1,-17.1,-1.1288,-5.3578,9.3306,-2.5575,16.6673,-3.8698,1.4006,2
MnCl+,MnCl(+),MnCl+,aq,SSWS97,DEW17.4,2017-09-26,DEW,cal,-86290,-88280,12,24.63,6.3,2.9207,-1.5023,6.0978,-2.7169,23.9969,1.9824,0.3686,1
MnO4-,MnO4(-),MnO4-,aq,SSWS97,DEW17.2,2017-09-26,DEW,cal,-106900,-129400,45.7,-1.8,42,6.8923,13.7707,1.6822,-3.3483,13.7425,-3.4012,0.9368,-1
MnO4-2,MnO4(-2),MnO4-2,aq,SSWS97,DEW17.2,2017-09-26,DEW,cal,-119700,-156000,14,-59.3,27.4,11.8564,-5.6954,0.3402,-2.5436,-0.9265,-15.1141,3.0024,-2
MnSO4,MnSO4(0),MnSO4,aq,SSWS97,DEW17.4,2017-09-26,DEW,cal,-235640,-266750,5,-21.48,29.2,7.1731,2.5464,2.703,-2.8843,-6.7719,-7.41,-0.038,0
MoO4-2,MoO4(-2),MoO4-2,aq,SSWS97,DEW17.1,2017-09-26,DEW,cal,-199900,-238500,6.5,-47.5,30.4,12.64,-5.4721,-0.2288,-2.5528,7.0223,-12.7103,3.1145,-2
N2,N2(0),N2,aq,SHS89,DEW17.3,2017-09-26,DEW,cal,4347,-2495,22.9,56,33.3,7.8213,3.1635,2.1855,-2.9098,35.7911,8.3726,-0.3468,0
Na(Ac),NaCH3COO(0),NaCH3COO,aq,SK93,DEW17.3,2017-09-26,DEW,cal,-150720,-173540,34.2,75.1,49,11.1806,6.3619,-0.4963,-3.042,52.9437,12.2633,0.3,0
Na(Ac)2-,Na(CH3COO)2(-1),Na(CH3COO)2-1,aq,SK93,DEW17.3,2017-09-26,DEW,cal,-238470,-292400,44,170,103.2,22.0247,16.6865,-9.1534,-3.4688,114.6669,31.5944,0.9628,-1
NaCl,NaCl(0),NaCl,aq,SSWS97,DEW17.3,2017-09-26,DEW,cal,-92910,-96120,28,8.51,24,6.1632,1.5849,3.5092,-2.8445,10.8029,-1.3014,-0.038,0
NaCO3-,NaCO3(-),NaCO3-,aq,SBS13,DEW17.30,2017-09-26,DEW,cal,-190562,NA,8,-1,27.8,7.6427,2.9935,2.3281,-2.9028,19.473,-3.2383,1.5079,-1
NaHCO3,NaHCO3(0),NaHCO3,aq,HS19,DEW19.1,2020-06-30,DEW,cal,-203100,-219552,32,62,39,9.4783,4.7412,0.8627,-2.975,49.8727,9.5948,0.8,0
NaHSiO3,NaHSiO3(0),NaHSiO3,aq,SSWS97,DEW17.4,2017-09-26,DEW,cal,-307140,-333044,19,2.34,18.7,5.1339,0.6048,4.3309,-2.804,7.188,-2.5579,-0.038,0
NaOH,NaOH(0),NaOH,aq,HP97,DEW17.32,2017-09-26,DEW,cal,-100900,NA,6.5,42,12,3.9469,-0.5253,5.2786,-2.7573,32.6238,5.5208,0.2,0
