name,abbrv,formula,state,ref1,ref2,date,model,E_units,G,H,S,Cp,V,a1.a,a2.b,a3.c,a4.d,c1.e,c2.f,omega.lambda,z.T
aegerine,Agt,NaFe(SiO3)2,cr,HDNB78,NA,1978-05-05,CGL,cal,NA,NA,36.7,NA,64.37,46.16,0.01931,-946000,0,0,0,0,950
aegerine,Agt,NaFe(SiO3)2,cr2,HDNB78,OBIGT.1,1978-05-05,CGL,cal,-82.386,NA,34.6051,NA,64.37,52.42,0.01001,-768000,0,0,0,0,1050
aegerine,Agt,NaFe(SiO3)2,cr3,HDNB78,OBIGT.1,1978-05-05,CGL,cal,478.346,NA,36.6502,NA,64.37,50.27,0.01089,-768000,0,0,0,0,1400
akermanite,Ak,Ca2MgSi2O7,cr,HDNB78,SPRONS92.2,1990-03-15,CGL,cal,-879362,-926497,50.03,NA,92.81,60.09,0.0114,-1140000,0,0,0,0,1700
albite,Ab,Na(AlSi3)O8,cr,HDNB78,NA,1978-05-05,CGL,cal,-886308,-939680,49.51,NA,100.25,61.7,0.0139,-1501000,0,0,0,0,473
albite,Ab,Na(AlSi3)O8,cr2,HDNB78,OBIGT.1,1978-05-05,CGL,cal,-886096.268,NA,53.9193,NA,100.25,81.88,0.003554,-5015400,0,0,0,0,1200
"albite,high",Hi-Ab,NaAlSi3O8,cr,HDNB78,NA,1978-05-05,CGL,cal,-884509,-937050,52.3,NA,100.43,61.7,0.0139,-1501000,0,0,0,0,623
"albite,high",Hi-Ab,NaAlSi3O8,cr2,HDNB78,OBIGT.1,1978-05-05,CGL,cal,-884768.678,NA,50.4797,NA,100.43,64.17,0.0139,-1501000,0,0,0,0,1400
"albite,low",Lo-Ab,Na(AlSi3)O8,cr,HDNB78,NA,1978-05-05,CGL,cal,-886308,-939680,49.51,NA,100.07,61.7,0.0139,-1501000,0,0,0,0,1400
almandine,Alm,Fe3Al2Si3O12,cr,HDNB78,RH95.3,2020-07-06,CGL,cal,-1181142,-1258293,81.88,82.05,115.28,97.52,0.03364,-1873000,0,0,0,0,848
almandine,Alm,Fe3Al2Si3O12,cr2,HDNB78,OBIGT.1,2020-07-06,CGL,cal,-1181153.741,NA,78.21,NA,115.28,107.09,0.01486,-1063000,0,0,0,0,1600
"amesite,14A",14A-Am,Mg4Al2(Al2Si2)O10(OH)8,cr,HDNB78,NA,1978-05-05,CGL,cal,NA,NA,108.9,NA,205.4,172.59,0.03498,-4167000,0,0,0,0,848
"amesite,14A",14A-Am,Mg4Al2(Al2Si2)O10(OH)8,cr2,HDNB78,OBIGT.1,1978-05-05,CGL,cal,3.895,NA,110.1233,NA,205.4,169.4,0.04124,-4437000,0,0,0,0,1000
"amesite,7A",Ams-7A,Mg2Al(AlSi)O5(OH)4,cr,HDNB78,NA,1978-05-05,CGL,cal,NA,NA,52,NA,103,81.03,0.024738,-2023000,0,0,0,0,1000
"amorphous silica",Amor-Sl,SiO2,cr,HDNB78,NA,1978-05-05,CGL,cal,-202892,-214568,14.34,NA,29,5.93,0.0472,-2278000,0,0,0,0,622
analcime,Anl,NaAlSi2O6*H2O,cr,HDNB78,NA,1978-05-05,CGL,cal,-738098,-790193,56,NA,97.1,53.49,0.02414,-888000,0,0,0,0,1000
"analcime,dehydrated",Dhyd-Anl,NaAlSi2O6,cr,HDNB78,NA,1978-05-05,CGL,cal,-674989,-714678,41.9,NA,89.1,42.09,0.02414,-888000,0,0,0,0,1000
andalusite,And,Al2SiO5,cr,HDNB78,NA,1978-05-05,CGL,cal,-580587,-615866,22.2,NA,51.53,41.310833,0.006292556,-1239206.3,0,0,0,0,1043
andradite,Adr,Ca3Fe2Si3O12,cr,HDNB78,SPRONS92.2,1990-03-15,CGL,cal,-1296819,-1380345,70.13,NA,131.85,113.532,0.015636,-3088900,0,0,0,0,1100
annite,Ann,KFe3(AlSi3)O10(OH)2,cr,HDNB78,NA,1978-05-05,CGL,cal,-1147156,-1232195,95.2,NA,154.32,106.43,0.02977,-1931000,0,0,0,0,1000
anorthite,An,Ca(Al2Si2)O8,cr,HDNB78,SPRONS92.2,1990-03-15,CGL,cal,-954078,-1007552,49.1,NA,100.79,63.311,0.014794,-1544000,0,0,0,0,1700
anthophyllite,Ath,Mg7Si8O22(OH)2,cr,HDNB78,NA,1978-05-05,CGL,cal,-2715430,-2888749,128.6,NA,264.4,180.682,0.060574,-3846200,0,0,0,0,903
anthophyllite,Ath,Mg7Si8O22(OH)2,cr2,HDNB78,OBIGT.1,1978-05-05,CGL,cal,-2718479.297,NA,108.796,NA,264.4,197.542,0.041614,-1334200,0,0,0,0,1258
anthophyllite,Ath,Mg7Si8O22(OH)2,cr3,HDNB78,OBIGT.1,1978-05-05,CGL,cal,-2719529.932,NA,105.9454,NA,264.4,199.522,0.041614,-1334200,0,0,0,0,1800
antigorite,Atg,Mg48Si34O85(OH)62,cr,HDNB78,NA,1978-05-05,CGL,cal,-15808020,-17070891,861.36,NA,1749.13,1228.45,0.51376,-28668000,0,0,0,0,848
antigorite,Atg,Mg48Si34O85(OH)62,cr2,HDNB78,OBIGT.1,1978-05-05,CGL,cal,-15808027.845,NA,858.9133,NA,1749.13,1234.83,0.50124,-28128000,0,0,0,0,1000
aragonite,Arg,CaCO3,cr,HDNB78,PB82,1990-03-09,CGL,cal,-269683,-288531,21.56,NA,34.15,20.13,0.01024,-334000,0,0,0,0,600
boehmite,Bhm,AlO(OH),cr,HDNB78,NA,1978-05-05,CGL,cal,-217250,-235078,11.58,NA,19.535,14.435,0.0042,0,0,0,0,0,500
brucite,Brc,Mg(OH)2,cr,HDNB78,NA,1978-05-05,CGL,cal,-199646,-221390,15.09,NA,24.63,24.147,0.0040124,-611000,0,0,0,0,900
Ca-Al-pyroxene,Ca-Al-Px,CaAl(AlSi)O6,cr,HDNB78,SPRONS92.2,1990-03-15,CGL,cal,-742067,-783793,35,NA,63.5,54.13,0.00642,-1490000,0,0,0,0,1400
Ca-phillipsite,Ca-Php,Ca(Al2Si5)O14*5H2O,cr,HDNB78,NA,1978-05-05,CGL,cal,NA,NA,166.6,NA,265,145.82,0.05267,-1913000,0,0,0,0,848
Ca-phillipsite,Ca-Php,Ca(Al2Si5)O14*5H2O,cr2,HDNB78,OBIGT.1,1978-05-05,CGL,cal,-3.895,NA,165.3767,NA,265,149.01,0.04641,-1643000,0,0,0,0,1000
cassiterite,Cst,SnO2,cr,JH85,RH95.7,1978-05-05,CGL_Ttr,cal,-124260,-138800,12.5,NA,21.55,17.246,0.0028026,-490010,0,0,0,0,1903
calcite,Cal,CaCO3,cr,HDNB78,PB82,1990-03-09,CGL,cal,-269880,-288552,22.15,NA,36.934,24.98,0.00524,-620000,0,0,0,0,1200
celadonite,Cln,K(MgAl)Si4O10(OH)2,cr,HDNB78,NA,1978-05-05,CGL,cal,NA,NA,74.9,NA,157.1,80.25,0.0253,-1854000,0,0,0,0,1000
chabazite,Cbz,Ca(Al2Si4)O12*6H2O,cr,HDNB78,NA,1978-05-05,CGL,cal,NA,NA,152.9,NA,247.76,146,0.04447,-1643000,0,0,0,0,1000
chalcedony,Cha,SiO2,cr,HDNB78,NA,1978-05-05,CGL,cal,-204276,-217282,9.88,NA,22.688,11.22,0.0082,-270000,0,0,0,0,848
chloritoid,Cld,FeAl2SiO5(OH)2,cr,HDNB78,NA,1978-05-05,CGL,cal,NA,NA,42.1,NA,69.8,60.63,0.01713,-1363000,0,0,0,0,1000
chrysotile,Ctl,Mg3Si2O5(OH)4,cr,HDNB78,NA,1978-05-05,CGL,cal,-964871,-1043123,52.9,NA,108.5,75.82,0.0316,-1758000,0,0,0,0,1000
"clinochlore,14A",14A-Cnc,Mg5Al(AlSi3)O10(OH)8,cr,HDNB78,NA,1978-05-05,CGL,cal,-1961703,-2116964,111.2,NA,207.11,166.5,0.0421,-3747000,0,0,0,0,900
"clinochlore,7A",7A-Cnc,Mg5Al(AlSi3)O10(OH)8,cr,HDNB78,NA,1978-05-05,CGL,cal,-1957101,-2113197,106.5,NA,211.5,162.82,0.05062,-4088000,0,0,0,0,848
"clinochlore,7A",7A-Cnc,Mg5Al(AlSi3)O10(OH)8,cr2,HDNB78,OBIGT.1,1978-05-05,CGL,cal,-1957104.895,NA,105.2767,NA,211.5,166.01,0.04436,-3818000,0,0,0,0,900
clinozoisite,Czo,Ca2Al3Si3O12(OH),cr,HDNB78,SPRONS92.2,1990-03-15,CGL,cal,-1549240,-1643781,70.64,NA,136.2,106.118,0.025214,-2714500,0,0,0,0,700
coesite,Cos,SiO2,cr,HDNB78,NA,1978-05-05,CGL,cal,-203541,-216614,9.65,NA,20.641,11,0.0082,-270000,0,0,0,0,848
coesite,Cos,SiO2,cr2,HDNB78,OBIGT.1,1978-05-05,CGL,cal,-203544.895,NA,8.4267,NA,20.641,14.19,0.00194,0,0,0,0,0,2000
"cordierite,dry",Crd,Mg2Al3(AlSi5)O18,cr,HDNB78,NA,1978-05-05,CGL,cal,-2061279,-2183199,97.33,NA,233.22,143.83,0.0258,-3860000,0,0,0,0,1700
"cordierite,hydrous",Hyd-Crd,Mg2Al3(AlSi5)O18*H2O,cr,HDNB78,NA,1978-05-05,CGL,cal,-2121350,-2255676,111.43,NA,241.22,155.23,0.0258,-3860000,0,0,0,0,1700
corundum,Crn,Al2O3,cr,HDNB78,NA,1978-05-05,CGL,cal,-374824,-397145,12.18,NA,25.575,27.49,0.00282,-838000,0,0,0,0,1800
